country_code,country,year,population_total,population_growth_pct,age_dependency_ratio,pop_65_plus_pct,pop_working_age_pct,urban_pop_pct,gdp_per_capita_usd,gdp_growth_pct,primary_energy_consumption,energy_per_capita,electricity_demand,electricity_demand_per_capita,fossil_share_energy,low_carbon_share_energy,renewables_share_energy,energy_per_gdp,demographic_phase
IDN,Indonesia,2012,252698525,1.28583816632167,50.3950625185566,5.97203208843423,66.4915446182363,51.1593933105469,3632.27254030331,6.03005065305615,1937.146,7665.838,208.96,826.914,96.423,3.577,3.577,0.839,growing_young
IDN,Indonesia,2013,255852467,1.24038001568984,50.043914325018,6.00968683645659,66.6471548360078,51.8307495117188,3566.60284506078,5.5572636889101,1824.511,7131.106,225.18,880.117,95.466,4.534,4.534,0.748,growing_young
IDN,Indonesia,2014,258877399,1.17536091203837,49.6839805094095,6.04134063476124,66.8074162395304,52.5002136230469,3441.06808464008,5.006668425755,1856.634,7171.867,237.55,917.616,95.292,4.708,4.708,0.725,growing_young
IDN,Indonesia,2015,261799249,1.12233981761262,49.3596437927725,6.08184727833196,66.9524898064165,53.1720771789551,3288.22269725538,4.87632230022123,1896.461,7243.953,243.29,929.3,95.997,4.003,4.003,0.706,growing_young
IDN,Indonesia,2016,264627418,1.0744882002252,49.0806241774761,6.14856356267664,67.077798038297,53.812557220459,3521.46943457574,5.03306918280177,1884.228,7120.308,258.24,975.863,94.19,5.81,5.81,0.668,growing_young
IDN,Indonesia,2017,267346658,1.02232939771064,48.813317657578,6.2384335097991,67.1982866155746,54.4541015625,3798.88326174526,5.06978590134916,2023.711,7569.617,266.95,998.517,94.482,5.518,5.518,0.683,growing_young
IDN,Indonesia,2018,269951846,0.969743409524713,48.5572855648717,6.3509593367423,67.3141002204628,55.0956840515137,3860.95353090726,5.17429153955024,2131.562,7896.083,285.29,1056.818,91.971,8.029,8.029,0.684,growing_young
IDN,Indonesia,2019,272489381,0.935604959235128,48.3187310528364,6.48567879421327,67.4223673692444,55.7382049560547,4106.94856160358,5.01928768046282,2253.939,8271.659,297.12,1090.391,91.387,8.613,8.613,0.689,growing_young
IDN,Indonesia,2020,274814866,0.849801187379341,48.0216798448748,6.60790527723472,67.5576712934403,56.2785287648768,3853.70288774146,-2.06551182934165,2116.31,7700.859,293.37,1067.519,89.356,10.644,10.644,0.66,growing_young
IDN,Indonesia,2021,276758053,0.704601321926319,47.6279810142978,6.68701065764471,67.7378359790672,56.8761702464027,4287.17313995098,3.70288562827751,2196.681,7937.189,310.33,1121.304,88.924,11.076,11.076,0.661,growing_young
IDN,Indonesia,2022,278830529,0.746050469653246,47.2726576874372,6.82466625959862,67.9012667725156,57.4934704226599,4730.83484836107,5.30719722664799,2749.242,9859.906,334.34,1199.08,89.792,10.208,10.208,0.785,growing_young
IDN,Indonesia,2023,281190067,0.842666137328498,47.0224568841154,7.04854077766648,68.0168202172248,58.1179353397878,4876.2992959843,5.04883117855516,2785.135,9904.814,351.49,1250.009,89.305,10.695,10.695,,growing_young
IDN,Indonesia,2024,283487931,0.813871513351669,46.8135550051726,7.28860130431549,68.1136017534969,58.7509635387997,4925.43644992666,5.03257477088519,2984.731,10528.603,,,89.046,10.954,10.954,,growing_young
IND,India,1960,435990338,,78.1963185263407,3.29905246661682,56.1178820205874,17.9250073975312,84.9328084793106,,,,,,,,,,unknown
IND,India,1961,446564729,2.39642770212636,79.2466190568615,3.33852609678285,55.7890578006095,18.0240089532608,87.8538613470205,3.72274253269822,,,,,,,,,growing_young
IND,India,1962,457283090,2.3718292492177,80.3615159024236,3.39509788498313,55.4442002824161,18.1435710412125,92.1999583629516,2.93112773665958,,,,,,,,,growing_young
IND,India,1963,468138575,2.34617004494498,81.5177912967037,3.45820198645241,55.0910185087824,18.283856024527,103.435021262932,5.99435326095178,,,,,,,,,growing_young
IND,India,1964,479229598,2.34154578203199,82.2853750137233,3.51254807095617,54.8590362734649,18.4430405128829,117.856430772855,7.45295012232975,,,,,,,,,growing_young
IND,India,1965,490140146,2.25115521196281,82.5509385087176,3.5519870473944,54.7792309385732,18.6197192716934,121.50831902883,-2.63577010985361,619.451,1263.825,,,91.357,8.643,8.643,1.039,growing_young
IND,India,1966,500740247,2.13961351155644,82.623126636811,3.57875227872386,54.7575774351527,18.8124870663716,91.0276950517841,-0.0553287698318314,638.414,1274.94,,,91.242,8.758,8.758,1.062,growing_young
IND,India,1967,511606372,2.14680270986968,82.5030296249276,3.59440871427849,54.7936108923147,19.019938662331,97.9951481214155,7.82596303033105,658.434,1286.993,,,90.493,9.507,9.507,1.012,growing_young
IND,India,1968,522716889,2.14844716038577,82.3426324478197,3.60919073308266,54.841810032698,19.2406688249846,101.556802521195,3.38792917600242,703.985,1346.781,,,89.733,10.267,10.267,1.054,growing_young
IND,India,1969,533880544,2.11321172870178,82.2116927473581,3.63294125177274,54.8812200720328,19.4732723197457,109.477664384288,6.53970029628042,780.436,1461.818,,,89.457,10.543,10.283,1.095,growing_young
IND,India,1970,545864268,2.21982378728468,81.8831795123665,3.66092858087571,54.9803453154402,19.7163439120276,114.35532002008,5.15722973608261,763.741,1399.141,,,88.37,11.63,11.151,1.02,growing_young
IND,India,1971,558096387,2.21613325893602,81.5721664288433,3.69483317968977,55.074520438461,19.973429065388,120.680595539912,1.64293038388766,794.386,1423.386,,,87.894,12.106,11.763,1.051,growing_young
IND,India,1972,570482142,2.19501824226466,81.3068188425448,3.73548652092206,55.1551236420255,20.2765374145567,125.270705961882,-0.553301312377712,835.859,1465.179,,,88.846,11.154,10.844,1.109,growing_young
IND,India,1973,583465598,2.25036255306664,80.9986462457341,3.77739254798137,55.249031970561,20.6395528614156,146.568492582405,3.29552113522354,853.324,1462.509,,,88.043,11.957,11.316,1.082,growing_young
IND,India,1974,597041391,2.3000950671043,80.6676964293863,3.81539736497097,55.3502381043461,21.0444612042606,166.699661755332,1.18533626034039,903.988,1514.112,,,89.172,10.828,10.271,1.134,growing_young
IND,India,1975,611309535,2.36169921715702,80.2142744665989,3.847431563455,55.4895000942526,21.4761700378174,161.086694022079,9.14991201480592,972.011,1590.048,,,87.962,12.038,11.421,1.12,growing_young
IND,India,1976,625861883,2.3526277752357,79.736917591325,3.87536062808925,55.6368726804217,21.9195869568118,164.119999587322,1.66310363661279,1019.454,1628.88,,,87.879,12.121,11.392,1.16,growing_young
IND,India,1977,640801103,2.35894044670683,79.2201937493938,3.8979287618361,55.7972836385708,22.3596195559694,189.585568552477,7.25476458583569,1078.32,1682.769,,,87.766,12.234,11.753,1.138,growing_young
IND,India,1978,655728229,2.30273010047879,78.708214458787,3.9177323567688,55.9571368552443,22.7811754300159,209.389063573463,5.71253208900188,1120.973,1709.508,,,85.386,14.614,14.048,1.123,growing_young
